item,ibge
http://www.wikidata.org/entity/Q2040600,2101707
http://www.wikidata.org/entity/Q2013308,2101731
http://www.wikidata.org/entity/Q2013283,2101772
http://www.wikidata.org/entity/Q2068847,2101806
http://www.wikidata.org/entity/Q2068952,2101905
http://www.wikidata.org/entity/Q2008013,2101939
http://www.wikidata.org/entity/Q2068253,2101970
http://www.wikidata.org/entity/Q2279959,2102002
http://www.wikidata.org/entity/Q2068303,2102036
http://www.wikidata.org/entity/Q2068928,2102077
http://www.wikidata.org/entity/Q659888,2102101
http://www.wikidata.org/entity/Q2068871,2102150
http://www.wikidata.org/entity/Q2135872,2102200
http://www.wikidata.org/entity/Q2013234,2102309
http://www.wikidata.org/entity/Q2013248,2102325
http://www.wikidata.org/entity/Q2013324,2102358
http://www.wikidata.org/entity/Q2013274,2102374
http://www.wikidata.org/entity/Q934637,2102408
http://www.wikidata.org/entity/Q510992,2102507
http://www.wikidata.org/entity/Q1122744,2102556
http://www.wikidata.org/entity/Q2068838,2102606
http://www.wikidata.org/entity/Q2103724,2102705
http://www.wikidata.org/entity/Q2068268,2102754
http://www.wikidata.org/entity/Q651807,2102804
http://www.wikidata.org/entity/Q2016480,2102903
http://www.wikidata.org/entity/Q997107,2103000
http://www.wikidata.org/entity/Q2095187,2103109
http://www.wikidata.org/entity/Q2068312,2103125
http://www.wikidata.org/entity/Q2068246,2103158
http://www.wikidata.org/entity/Q2013267,2103174
http://www.wikidata.org/entity/Q746060,2103208
http://www.wikidata.org/entity/Q924546,2103257
http://www.wikidata.org/entity/Q2013225,2103307
http://www.wikidata.org/entity/Q2019296,2103406
http://www.wikidata.org/entity/Q369679,2103505
http://www.wikidata.org/entity/Q2012506,2103554
http://www.wikidata.org/entity/Q967552,2103604
http://www.wikidata.org/entity/Q1886395,2103703
http://www.wikidata.org/entity/Q2105097,2103752
http://www.wikidata.org/entity/Q1823871,2103802
http://www.wikidata.org/entity/Q646515,2103901
http://www.wikidata.org/entity/Q2013171,2104008
http://www.wikidata.org/entity/Q2068863,2104057
http://www.wikidata.org/entity/Q2068274,2104073
http://www.wikidata.org/entity/Q2068889,2104081
http://www.wikidata.org/entity/Q2068944,2104099
http://www.wikidata.org/entity/Q2068880,2104107
http://www.wikidata.org/entity/Q2034097,2104206
http://www.wikidata.org/entity/Q939995,2104305
http://www.wikidata.org/entity/Q14629944,2104404
http://www.wikidata.org/entity/Q2012522,2104503
http://www.wikidata.org/entity/Q2012559,2104552
http://www.wikidata.org/entity/Q2068814,2104602
http://www.wikidata.org/entity/Q432254,2104628
http://www.wikidata.org/entity/Q2068907,2104651
http://www.wikidata.org/entity/Q2068296,2104677
http://www.wikidata.org/entity/Q2082297,2104701
http://www.wikidata.org/entity/Q2043418,2104800
http://www.wikidata.org/entity/Q2101408,2104909
http://www.wikidata.org/entity/Q1814500,2105005
http://www.wikidata.org/entity/Q2068290,2105104
http://www.wikidata.org/entity/Q1832376,2105153
http://www.wikidata.org/entity/Q2068280,2105203
http://www.wikidata.org/entity/Q504755,2105302
http://www.wikidata.org/entity/Q2068260,2105351
http://www.wikidata.org/entity/Q2012733,2105401
http://www.wikidata.org/entity/Q2012566,2105427
http://www.wikidata.org/entity/Q2103541,2105450
http://www.wikidata.org/entity/Q781692,2105476
http://www.wikidata.org/entity/Q1875142,2105500
http://www.wikidata.org/entity/Q2068225,2105609
http://www.wikidata.org/entity/Q2068232,2105658
http://www.wikidata.org/entity/Q1008300,2105708
http://www.wikidata.org/entity/Q927111,2105807
http://www.wikidata.org/entity/Q2105837,2105906
http://www.wikidata.org/entity/Q2012976,2105922
http://www.wikidata.org/entity/Q305180,2105948
http://www.wikidata.org/entity/Q2012551,2105963
http://www.wikidata.org/entity/Q930035,2105989
http://www.wikidata.org/entity/Q2068220,2106003
http://www.wikidata.org/entity/Q2103736,2106102
http://www.wikidata.org/entity/Q2068240,2106201
http://www.wikidata.org/entity/Q2012532,2106300
http://www.wikidata.org/entity/Q2064676,2106326
http://www.wikidata.org/entity/Q743349,2106359
http://www.wikidata.org/entity/Q1846576,2106375
http://www.wikidata.org/entity/Q2012544,2106409
http://www.wikidata.org/entity/Q1116758,2106508
http://www.wikidata.org/entity/Q2012513,2106607
http://www.wikidata.org/entity/Q2013059,2106631
http://www.wikidata.org/entity/Q2013332,2106672
http://www.wikidata.org/entity/Q2089741,2106706
http://www.wikidata.org/entity/Q2066162,2106755
http://www.wikidata.org/entity/Q2066198,2106805
http://www.wikidata.org/entity/Q2103583,2106904
http://www.wikidata.org/entity/Q2012463,2107001
http://www.wikidata.org/entity/Q301700,2107100
http://www.wikidata.org/entity/Q2020346,2107209
http://www.wikidata.org/entity/Q2066151,2107258
http://www.wikidata.org/entity/Q568168,2107308
http://www.wikidata.org/entity/Q924503,2107357
http://www.wikidata.org/entity/Q2066100,2107407
http://www.wikidata.org/entity/Q2065084,2107456
http://www.wikidata.org/entity/Q628172,2107506
http://www.wikidata.org/entity/Q2064709,2107605
http://www.wikidata.org/entity/Q2261140,2107704
http://www.wikidata.org/entity/Q2013043,2107803
http://www.wikidata.org/entity/Q2043365,2107902
http://www.wikidata.org/entity/Q2066090,2108009
http://www.wikidata.org/entity/Q1876128,2108058
http://www.wikidata.org/entity/Q2064653,2108108
